7655,,,
city,address,longitude,latitude
Montgomery Alabama 36106,Zelda Rd  Carter Hill Rd,-86.295369,32.35012
Mississauga Ontario L4V 1Y9,YYZ Toronto Term 3  Beaches,-79.608705,43.699195
Mississauga Ontario L4V 1Y9,YYZ Toronto Term 1  Yorkvlle ED3-1A,-79.617586,43.696273
Mississauga Ontario L4V 1Y9,YYZ Toronto Term 1  Mktplace EF2-5,-79.617586,43.696273
Santa Rosa California 95404,Yulupa - Bethards - Santa Rosa,-122.693674,38.452775
Dorval Quebec H4Y 1H1,YUL Mont Drvl Intl Depart  Gate 16,-73.749778,45.45481
Yucaipa California 92399,Yucaipa - Oak Glen  Yucaipa,-117.034729,34.03386
Merced California 95337,Yosemite - Paulson - Merced,-121.22956,37.784136
Lone Tree Colorado 80124,Yosemite - Maximus - Lone Tree,-104.888412,39.546137
Manteca California 95336,Yosemite - Hwy 99 - Manteca,-121.215779,37.82168
Oakdale California 95361,Yosemite - F Street - Oakdale,-120.840659,37.77082
Yorktown Heights New York 10598,Yorktown,-73.7708,41.28889
Timonium Maryland 21093,Yorkridge Center,-76.629398,39.439899
Toronto Ontario M6A 2T9,Yorkdale Indigo,-79.446384,43.722349
York Nebraska 68467,York-I-80 - Hwy 81,-97.600244,40.821357
Baltimore Maryland 21212,York Road,-76.608849,39.377235
North York Ontario M3B 1Y2,York Mills - Lesmill,-79.356621,43.753551
York Pennsylvania 17402,York Marketplace,-76.670339,39.946699
Yorba Linda California 92827,Yorba Linda - Valley View  Yorba Li,-117.828659,33.890247
Fullerton California 92631,Yorba Linda - Bradford  Fullerton,-117.929104,33.870325
Yonkers New York 10710,Yonkers,-73.844521,40.964999
Thornhill Ontario L4J 1V7,Yonge - Steeles Ave.,-79.428874,43.830305
Toronto Ontario M5B 2H1,Yonge - Shuter (Eaton),-79.376124,43.65488
Toronto Ontario M4P 1E4,Yonge - Eglinton Indigo,-79.400459,43.716475
Thornhill Ontario L3T 7L2,Yonge - Centre - Thornhill,-79.423554,43.815525
Toronto Ontario M5V 1Z7,Yonge  Rose Hill,-79.395751,43.642224
Halifax Nova Scotia B2T 1K2,YHZ Halifax Main Term  2nd level,-63.604131,44.938783
Walnut Creek California 94596,Ygnacio - North Main - Walnut Creek,-122.045721,37.890529
Yardley Pennsylvania 19067,Yardley,-74.841845,40.224175
Boca Raton Florida 33434,Yamato Rd - Congress Ave,-80.165118,26.38155
Orlando Florida 32804,Yale - Edgewater,-81.376594,28.569565
Leesburg Virginia 20176,Xerox Doc Train Ctr - Lobby Alcove,-77.525114,39.120524
Albuquerque New Mexico 87122,Wyoming - Paseo del Norte,-106.559789,35.176305
Albuquerque New Mexico 87123,Wyoming - Academy - New Mexico,-106.648629,35.084155
Houston Texas 77060,Wyndham Greenspoint Houston,-95.385406,29.931944
New Rochelle New York 10804,Wykagyl,-73.800469,40.94029
Wyckoff New Jersey 07481,Wyckoff,-74.174234,41.00574
Denver Colorado 80202,Writer Square,-104.995609,39.7506
Chicago Illinois 60614,Wrightwood - Racine,-87.641944,41.9305
New York New York 100197416,Worldwide Plaza II,-74.007133,40.714531
Herndon Virginia 20170,Worldgate Centre,-77.385475,38.969698
Dallas Texas 75207,World Trade Center Dallas,-96.795404,32.778155
Worcester Massachusetts 01605,Worcester  One West Boylston Street,-71.796664,42.271895
Worcester Massachusetts 01605,Worcester  East Central Street,-71.796664,42.271895
Woonsocket Rhode Island 02895,Woonsocket,-71.482797,41.983839
Houston Texas 77057,Woodway - Voss,-95.486874,29.758405
